,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
42507,MA010120220810451390,희망슈퍼,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26200,영도구,26200630,청학1동,2620012000,청학동,2620012000102620026,1,대지,262,26.0,부산광역시 영도구 청학동 262-26,262003128028,부산광역시 영도구 청학북로,24,3.0,2620012000102620026012881,,부산광역시 영도구 청학북로 24-3,606822,49031,,,,129.059094167929,35.0941215391639
42521,MA010120220810447117,동영상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26200,영도구,26200530,남항동,2620010600,남항동2가,2620010600101620003,1,대지,162,3.0,부산광역시 영도구 남항동2가 162-3,262004184044,부산광역시 영도구 남항서로82번길,51,,2620010600101620003004977,,부산광역시 영도구 남항서로82번길 51,606802,49047,,,,129.038297414542,35.0869820115164
42597,MA010120220810432032,탑플러스마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26350,해운대구,26350620,반송2동,2635010100,반송동,2635010100100620633,1,대지,62,633.0,부산광역시 해운대구 반송동 62-633,263504199152,부산광역시 해운대구 윗반송로51번길,134,,2635010100100620633000449,,부산광역시 해운대구 윗반송로51번길 134,612800,48006,,1,,129.157000335258,35.2322017958882
42603,MA010120220810432158,대교상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26110,중구,26110510,중앙동,2611010700,중앙동4가,2611010700100240004,1,대지,24,4.0,부산광역시 중구 중앙동4가 24-4,261104175279,부산광역시 중구 충장대로4번길,8,,2611010700100240004004608,,부산광역시 중구 충장대로4번길 8,600814,48941,,1,,129.036830452272,35.1045088321074
42606,MA010120220810432415,부흥축산,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26290,남구,26290610,용당동,2629010800,용당동,2629010800105800004,1,대지,580,4.0,부산광역시 남구 용당동 580-4,262903131030,부산광역시 남구 유엔평화로,130,,2629010800105800004013271,,부산광역시 남구 유엔평화로 130,608830,48535,,1,,129.09608829135,35.1245483726526
42668,MA010120220810415826,미화당덕보마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26530,사상구,26530591,모라1동,2653010200,모라동,2653010200111220000,1,대지,1122,,부산광역시 사상구 모라동 1122,265304217268,부산광역시 사상구 사상로489번길,22,,2653010200111220000024083,미화당덕보마트,부산광역시 사상구 사상로489번길 22,617822,46918,,1,,128.986927886491,35.1885663181104
42688,MA010120220810428839,고려인삼판매,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,26,부산광역시,26200,영도구,26200540,영선1동,2620010800,영선동1가,2620010800100380002,1,대지,38,2.0,부산광역시 영도구 영선동1가 38-2,262002128001,부산광역시 영도구 영선대로,101,,2620010800100380002017691,,부산광역시 영도구 영선대로 101,606041,49052,,,,129.042974801605,35.0900156582111
42700,MA010120220810416247,홈탑세일마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26230,부산진구,26230770,범천1동,2623010400,범천동,2623010400108690010,1,대지,869,10.0,부산광역시 부산진구 범천동 869-10,262304187682,부산광역시 부산진구 중앙대로635번길,17,1.0,2623010400108690010002483,,부산광역시 부산진구 중앙대로635번길 17-1,614829,47351,,,,129.058150225732,35.1492051726028
42715,MA010120220810428862,좌훈까페,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,26,부산광역시,26500,수영구,26500780,광안3동,2650010400,광안동,2650010400110590020,1,대지,1059,20.0,부산광역시 수영구 광안동 1059-20,265004214176,부산광역시 수영구 망미번영로38번길,65,,2650010400110590020011650,,부산광역시 수영구 망미번영로38번길 65,613810,48242,,,,129.111986869338,35.1690042541469
42759,MA010120220810429531,외나무슈퍼,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26200,영도구,26200585,신선동,2620011200,신선동1가,2620011200102390006,1,대지,239,6.0,부산광역시 영도구 신선동1가 239-6,262004184367,부산광역시 영도구 하나길,602,,2620011200102390006019010,,부산광역시 영도구 하나길 602,606051,49067,,,,129.04721088257,35.0885278883908
42761,MA010120220810429533,대성할인마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26200,영도구,26200585,신선동,2620011200,신선동1가,2620011200102110008,1,대지,211,8.0,부산광역시 영도구 신선동1가 211-8,262004184247,부산광역시 영도구 참샘길,2,,2620011200102110008002459,,부산광역시 영도구 참샘길 2,606051,49064,,,,129.04824137513,35.0902136225189
42765,MA010120220810429539,슈퍼마켓,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26200,영도구,26200530,남항동,2620010100,대교동1가,2620010100100240001,1,대지,24,1.0,부산광역시 영도구 대교동1가 24-1,262004184338,부산광역시 영도구 태종로50번길,13,,2620010100100240001017771,,부산광역시 영도구 태종로50번길 13,606011,49042,,,,129.036831404909,35.0933224131507
42774,MA010120220810413010,고기써는아빠들,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26350,해운대구,26350530,중1동,2635010600,중동,2635010600117930000,1,대지,1793,,부산광역시 해운대구 중동 1793,263503133039,부산광역시 해운대구 좌동순환로,402,,2635010600106890002029646,래미안해운대,부산광역시 해운대구 좌동순환로 402,612011,48104,,,,129.176635785467,35.1639497432181
42776,MA010120220810421259,동*대마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26140,서구,26140510,동대신1동,2614010100,동대신동1가,2614010100103920001,1,대지,392,1.0,부산광역시 서구 동대신동1가 392-1,261403006005,부산광역시 서구 구덕로,258,,2614010100103920001023857,서구대성학원,부산광역시 서구 구덕로 258,602808,49222,,1,,129.020430532202,35.1078930324385
42778,MA010120220810430137,세왕마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26380,사하구,26380510,괴정1동,2638010100,괴정동,2638010100109320011,1,대지,932,11.0,부산광역시 사하구 괴정동 932-11,263802006002,부산광역시 사하구 낙동대로,236,,2638010100109320011019300,,부산광역시 사하구 낙동대로 236,604815,49341,,,,128.991209316923,35.0997974649523
42809,MA010120220810417792,통영수산,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",26,부산광역시,26470,연제구,26470650,연산1동,2647010200,연산동,2647010200103170014,1,대지,317,14.0,부산광역시 연제구 연산동 317-14,264704211269,부산광역시 연제구 연동로8번길,25,,2647010200103170014020833,,부산광역시 연제구 연동로8번길 25,611811,47552,,,,129.092163074759,35.1887897516651
42862,MA010120220810418975,과자뭉치,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26110,중구,26110560,부평동,2611012400,부평동2가,2611012400100700011,1,대지,70,11.0,부산광역시 중구 부평동2가 70-11,261103125015,부산광역시 중구 흑교로,26,,2611012400100700011000898,,부산광역시 중구 흑교로 26,600806,48977,,1,,129.025345349519,35.1018121614507
42871,MA010120220810423218,락스room즐거운방,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26530,사상구,26530591,모라1동,2653010200,모라동,2653010200106480007,1,대지,648,7.0,부산광역시 사상구 모라동 648-7,265304217271,부산광역시 사상구 사상로519번길,28,,2653010200106480007014460,,부산광역시 사상구 사상로519번길 28,617819,46917,,1,,128.987784251445,35.1912815475379
42882,MA010120220810419391,보강마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26380,사하구,26380561,하단1동,2638010300,하단동,2638010300106050035,1,대지,605,35.0,부산광역시 사하구 하단동 605-35,263803134026,부산광역시 사하구 하신중앙로,299,,2638010300106050035004745,도암빌딩,부산광역시 사하구 하신중앙로 299,604850,49428,,1,,128.963126197549,35.1040621184185
42884,MA010120220810411248,달맞이축산,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26290,남구,26290645,우암동,2629011000,우암동,2629011000100430073,1,대지,43,73.0,부산광역시 남구 우암동 43-73,262904193251,부산광역시 남구 우암로154번길,34,,2629011000100430073019692,장수목욕탕,부산광역시 남구 우암로154번길 34,608841,48489,,,,129.081182171624,35.1248445100158
42901,MA010120220810386742,푸드엔남천지점,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26500,수영구,26500660,남천1동,2650010500,남천동,2650010500100190007,1,대지,19,7.0,부산광역시 수영구 남천동 19-7,265003131037,부산광역시 수영구 수영로,402,,2650010500100190007000001,,부산광역시 수영구 수영로 402,613814,48308,,,,129.108217600982,35.1419971680106
42950,MA010120220810383539,크림,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26530,사상구,26530591,모라1동,2653010200,모라동,2653010200113610000,1,대지,1361,,부산광역시 사상구 모라동 1361,265302006008,부산광역시 사상구 백양대로,879,,2653010200113610000001038,동원아파트,부산광역시 사상구 백양대로 879,617756,46930,,,,128.989958318305,35.1840346113499
42954,MA010120220810393971,장가네,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,26,부산광역시,26290,남구,26290570,용호1동,2629010700,용호동,2629010700104060010,1,대지,406,10.0,부산광역시 남구 용호동 406-10,262903131005,부산광역시 남구 동명로,127,,2629010700104060010009936,금진보석,부산광역시 남구 동명로 127,608833,48527,,,,129.110947582581,35.1200052745933
42959,MA010120220810379652,"반하다,꽃떡",,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26470,연제구,26470730,연산9동,2647010200,연산동,2647010200104690016,1,대지,469,16.0,부산광역시 연제구 연산동 469-16,264703006054,부산광역시 연제구 과정로,166,,2647010200104690016003506,,부산광역시 연제구 과정로 166,611812,47569,,2,,129.107379323736,35.186217837393
42964,MA010120220810380046,용천상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26710,기장군,26710259,일광읍,2671025933,일광읍,2671025933100880002,1,대지,88,2.0,부산광역시 기장군 일광읍 용천리 88-2,267104220365,부산광역시 기장군 일광읍 화용길,184,,2671031033100880002011753,,부산광역시 기장군 일광읍 화용길 184,619912,46046,,1,,129.214735308052,35.28557360261
42966,MA010120220810383960,우리동네축산마트,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26500,수영구,26500800,민락동,2650010300,민락동,2650010300102340005,1,대지,234,5.0,부산광역시 수영구 민락동 234-5,265004214069,부산광역시 수영구 광안해변로277번길,52,,2650010300102340005010250,,부산광역시 수영구 광안해변로277번길 52,613828,48287,,1,,129.123605725335,35.1581885868048
42971,MA010120220810376116,낭만식품,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,26,부산광역시,26230,부산진구,26230770,범천1동,2623010400,범천동,2623010400100620055,1,대지,62,55.0,부산광역시 부산진구 범천동 62-55,262304187347,부산광역시 부산진구 범일로125번길,22,,2623010400100620055033880,,부산광역시 부산진구 범일로125번길 22,614826,47359,,,,129.058374985408,35.1419830428971
42973,MA010120220810380236,금강탑마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26530,사상구,26530670,학장동,2653010700,학장동,2653010700108190000,1,대지,819,,부산광역시 사상구 학장동 819,265304217129,부산광역시 사상구 대동로64번길,25,,2653010700108190000000303,금강아파트,부산광역시 사상구 대동로64번길 25,617769,47051,,,,128.978808216188,35.1358913445213
42977,MA010120220810394493,볼원스낵,,I2,음식,I201,한식,I20101,백반/한정식,G47221,음료 소매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500114690000,1,대지,1469,,부산광역시 해운대구 우동 1469,263503133019,부산광역시 해운대구 센텀서로,30,,2635010500114690000000001,케이엔엔타워,부산광역시 해운대구 센텀서로 30,612022,48058,,1,,129.128462304753,35.1720788458596
42986,MA010120220810384609,보길축산아울렛,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26110,중구,26110560,부평동,2611012400,부평동2가,2611012400100680009,1,대지,68,9.0,부산광역시 중구 부평동2가 68-9,261104175175,부산광역시 중구 부평1길,39,,2611012400100680009005598,,부산광역시 중구 부평1길 39,600806,48977,,1,,129.025755780072,35.1013039035878
42987,MA010120220810380541,뉴센텀마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26410,금정구,26410690,구서2동,2641010700,구서동,2641010700101840022,1,대지,184,22.0,부산광역시 금정구 구서동 184-22,264102000010,부산광역시 금정구 중앙대로,1921,,2641010700101840022027760,센텀마트,부산광역시 금정구 중앙대로 1921,609801,46230,,,,129.090886896182,35.2559089745361
43000,MA010120220810376596,서원유통탑마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26170,동구,26170520,초량2동,2617010100,초량동,2617010100103930001,1,대지,393,1.0,부산광역시 동구 초량동 393-1,261704181524,부산광역시 동구 초량로13번길,53,,2617010100103930001000001,,부산광역시 동구 초량로13번길 53,601829,48816,,,,129.039542568637,35.1168257866101
43006,MA010120220810384887,컴퓨터과학고등학교구내매점,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26170,동구,26170550,초량6동,2617010100,초량동,2617010100108270006,1,대지,827,6.0,부산광역시 동구 초량동 827-6,261704181537,부산광역시 동구 초량로80번길,5,,2617010100108270006000780,"부산컴퓨터과학고등학교,선화여중",부산광역시 동구 초량로80번길 5,601832,48805,,,,129.032937297184,35.1210827794461
43031,MA010120220810408039,분홍오리,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26410,금정구,26410510,서1동,2641011000,서동,2641011000105270007,1,대지,527,7.0,부산광역시 금정구 서동 527-7,264104205231,부산광역시 금정구 서동로103번길,23,,2641011000105270007012815,,부산광역시 금정구 서동로103번길 23,609834,46319,,1,,129.098755726509,35.2176734843358
43049,MA010120220810385759,엘리보수동,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26110,중구,26110545,보수동,2611012000,보수동1가,2611012000101160088,1,대지,116,88.0,부산광역시 중구 보수동1가 116-88,261104175002,부산광역시 중구 고가길,24,1.0,2611012000101160088004105,,부산광역시 중구 고가길 24-1,600803,48967,,1,,129.02672064673,35.1039007922548
43066,MA010120220810404171,태성상회,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,26,부산광역시,26380,사하구,26380572,신평2동,2638010400,신평동,2638010400106050012,1,대지,605,12.0,부산광역시 사하구 신평동 605-12,263804202508,부산광역시 사하구 하신번영로169번길,32,,2638010400106050012039362,,부산광역시 사하구 하신번영로169번길 32,604838,49431,,,,128.958293638088,35.0978987119664
43077,MA010120220810404671,희야케키x본느상스,,I2,음식,I212,비알코올 ,I21201,카페,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26320,북구,26320560,덕천2동,2632010400,덕천동,2632010400103340008,1,대지,334,8.0,부산광역시 북구 덕천동 334-8,263204196045,부산광역시 북구 금곡대로20번길,49,,2632010400103340008010227,,부산광역시 북구 금곡대로20번길 49,616817,46547,,1,,129.00743797891,35.2125276805189
43132,MA010120220810542027,경주상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26380,사하구,26380580,장림1동,2638010500,장림동,2638010500107270019,1,대지,727,19.0,부산광역시 사하구 장림동 727-19,263804202453,부산광역시 사하구 장평로189번길,9,,2638010500107270019011003,,부산광역시 사하구 장평로189번길 9,604843,49474,,,,128.972045710885,35.0829700538876
43140,MA010120220810542093,부광상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26380,사하구,26380590,장림2동,2638010500,장림동,2638010500106150209,1,대지,615,209.0,부산광역시 사하구 장림동 615-209,263804202435,부산광역시 사하구 장림시장5길,236,,2638010500106150209035330,,부산광역시 사하구 장림시장5길 236,604845,49482,,,,128.971167517979,35.079191160665
43146,MA010120220810546620,메트로마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26380,사하구,26380590,장림2동,2638010500,장림동,2638010500103490013,1,대지,349,13.0,부산광역시 사하구 장림동 349-13,263804202435,부산광역시 사하구 장림시장5길,181,,2638010500103490013003598,,부산광역시 사하구 장림시장5길 181,604845,49482,,,,128.969792729421,35.0797700518728
43147,MA010120220810551167,청과물슈퍼,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26380,사하구,26380602,다대2동,2638010600,다대동,2638010600100950000,1,대지,95,,부산광역시 사하구 다대동 95,263803134009,부산광역시 사하구 다송로,55,,2638010600100950000000001,다송중학교,부산광역시 사하구 다송로 55,604821,49516,,,,128.984816791746,35.0643700469695
43155,MA010120220810546644,농심가,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26380,사하구,26380590,장림2동,2638010500,장림동,2638010500101930009,1,대지,193,9.0,부산광역시 사하구 장림동 193-9,263803134023,부산광역시 사하구 장림번영로,105,,2638010500101930004001137,,부산광역시 사하구 장림번영로 105,604042,49464,,,,128.976867134285,35.0808310232061
43171,MA010120220810541603,서울상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26380,사하구,26380571,신평1동,2638010400,신평동,2638010400101610033,1,대지,161,33.0,부산광역시 사하구 신평동 161-33,263804202180,부산광역시 사하구 다대로130번길,149,,2638010400101610033036698,,부산광역시 사하구 다대로130번길 149,604832,49441,,,,128.974808237918,35.0930346614168
43172,MA010120220810541617,덕영상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26380,사하구,26380572,신평2동,2638010400,신평동,2638010400106160007,1,대지,616,7.0,부산광역시 사하구 신평동 616-7,263804202505,부산광역시 사하구 하신번영로161번길,20,,2638010400106160007011855,,부산광역시 사하구 하신번영로161번길 20,604834,49431,,,,128.95892085283,35.0971365682228
43208,MA010120220810542419,감천수퍼,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26380,사하구,26380620,감천1동,2638010800,감천동,2638010800100990000,1,대지,99,,부산광역시 사하구 감천동 99,263804202396,부산광역시 사하구 원양로398번길,21,,2638010800100990000025694,,부산광역시 사하구 원양로398번길 21,604071,49450,,,,129.006668140972,35.0850132217887
43210,MA010120220810542424,나들이슈퍼,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26380,사하구,26380601,다대1동,2638010600,다대동,2638010600104680049,1,대지,468,49.0,부산광역시 사하구 다대동 468-49,263804202280,부산광역시 사하구 몰운대2길,52,,2638010600104680026000004,,부산광역시 사하구 몰운대2길 52,604824,49527,,1,,128.970140949497,35.0480374818696
43220,MA010120220810567007,낙원상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26230,부산진구,26230780,범천2동,2623010400,범천동,2623010400112550006,1,대지,1255,6.0,부산광역시 부산진구 범천동 1255-6,262303129031,부산광역시 부산진구 신암로,78,,2623010400112550007033023,,부산광역시 부산진구 신암로 78,614833,47343,,,,129.054025422004,35.1484839535165
